t,z
4341.0,0.7924102312480831
4342.0,0.7982535326159768
4343.0,0.8040968339838704
4344.0,0.809940135351764
4345.0,0.8157834367196578
4346.0,0.8216267380875515
4347.0,0.8274700394554453
4348.0,0.8333133408233389
4349.0,0.8391566421912326
4350.0,0.8449999435591262
4351.0,0.8508432449270199
4352.0,0.8566865462949135
4353.0,0.8625298476628073
4354.0,0.868373149030701
4355.0,0.8742164503985947
4356.0,0.8800597517664883
4357.0,0.8859030531343821
4358.0,0.8917463545022759
4359.0,0.8975896558701695
4360.0,0.9003613639197962
4361.0,0.9009764482743112
4362.0,0.9015915326288264
4363.0,0.9022066169833416
4364.0,0.9028217013378566
4365.0,0.9034367856923717
4366.0,0.9040518700468869
4367.0,0.9046669544014019
4368.0,0.9052820387559171
4369.0,0.9058971231104322
4370.0,0.9065122074649474
4371.0,0.9071272918194625
4372.0,0.9077423761739777
4373.0,0.9083574605284926
4374.0,0.9089725448830078
4375.0,0.909587629237523
4376.0,0.9102027135920382
4377.0,0.9108177979465533
4378.0,0.9114328823010684
4379.0,0.9120479666555834
4380.0,0.9126630510100986
4381.0,0.9132781353646138
4382.0,0.913893219719129
4383.0,0.9145083040736439
4384.0,0.9151233884281591
4385.0,0.9157384727826742
4386.0,0.9163535571371894
4387.0,0.9169686414917045
4388.0,0.9175837258462197
4389.0,0.9181988102007349
4390.0,0.9188138945552499
4391.0,0.9194289789097649
4392.0,0.9200220316321401
4393.0,0.9203295738093976
4394.0,0.9206371159866553
4395.0,0.9209446581639128
4396.0,0.9212522003411703
4397.0,0.921559742518428
4398.0,0.9218672846956855
4399.0,0.9221748268729429
4400.0,0.9224823690502004
4401.0,0.9227899112274581
4402.0,0.9230974534047156
4403.0,0.9234049955819732
4404.0,0.9237125377592308
4405.0,0.9240200799364884
4406.0,0.924327622113746
4407.0,0.9246351642910036
4408.0,0.924942706468261
4409.0,0.9252502486455187
4410.0,0.9255577908227762
