"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units","Notes"
"Mechanical_00001893","SITE_00600","Bathroom Vent","Builder Grade","Yes","Timer",,"Unknown","Hours per day",
"Mechanical_00001899","SITE_00602","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001905","SITE_00636","Bathroom Vent","Builder Grade","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001907","SITE_00638","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001914","SITE_00644","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001916","SITE_00693","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001917","SITE_00693","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001925","SITE_01788","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1000,,"Hours per day",
"Mechanical_00001928","SITE_01789","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.5000,,"Hours per day",
"Mechanical_00001935","SITE_01821","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001937","SITE_01822","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001945","SITE_01828","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00001947","SITE_01829","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00001950","SITE_01831","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001952","SITE_01832","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00001957","SITE_01836","Bathroom Vent","Panasonic or equivalent","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001959","SITE_01837","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001964","SITE_01840","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.4500,,"Hours per day",
"Mechanical_00001966","SITE_01842","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.1500,,"Hours per day",
"Mechanical_00001978","SITE_01853","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.4000,,"Hours per day",
