"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Large Unusual Load Type","Large Unusual Load Quantity","Large Unusual Load Quantity_notes","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Wifi Enabled","Well Pump Controlled by VSD","VSD Motor Input","VSD Motor Input_notes","VSD Motor Input Units","Notes","Room Name","Room Type"
"Appliance_00022613","SITE_01014","Room_00003521","Well Pump","N/A",,"N/A","No",,"Unknown","PLJ090412","General Electric","5kh39cn5501ex","Unknown","N/A","No",,"Unknown","Unknown","N/A","Other_2","Other"
"Appliance_00007652","SITE_01015","Room_00015291","Large Unusual Load","Powered Chair",1,,"Yes",2014,,"Unknown","Southern Motion","Unknown","Unknown","No","N/A",,"N/A","N/A","Chair with powered recline/motion as well as 2 usb ports, in use with electronics chargers","Living Room_1","Living Room"
"Appliance_00007680","SITE_01017","Room_00015308","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","38 gallon fish tank","Family Room_1","Family Room"
"Appliance_00007605","SITE_01023","Room_00003622","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Unknown","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00007606","SITE_01024","Room_00003646","Large Unusual Load","Water Softener",1,,"No",,"Unknown","3835001-12136-1141","Kenmore","625.383500","Unknown","No","N/A",,"N/A","N/A","N/A","Mechanical_2","Mechanical"
"Appliance_00007653","SITE_01025","Room_00015325","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Aqueon","Unknown","No","No","N/A",,"N/A","N/A","20 gallon fish tank with aqueon filter","Living Room_1","Living Room"
"Appliance_00022614","SITE_01030","Room_00003684","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Goulds Pumps","2801074915","Unknown","N/A","Unknown",,"Unknown","Unknown","Pump from well to cistern","Laundry_1","Laundry"
"Appliance_00022615","SITE_01030","Room_00003684","Well Pump","N/A",,"N/A","No",,"Unknown","8G03","Goulds Pumps","C48A93A08","Unknown","N/A","Unknown",,"Unknown","Unknown","Pump from cistern to house","Laundry_1","Laundry"
"Appliance_00022616","SITE_01030","Room_00003685","Well Pump","N/A",,"N/A","No",,"Unknown","8G03","A.O. Smith","C48a93a06","No","N/A","No",,"Unknown","Unknown","N/A","Laundry_1","Laundry"
"Appliance_00022622","SITE_01033","Room_00015386","Well Pump","N/A",,"N/A","No",,"Unknown","SYU260075","Myers","5kcr39sn2704ex","Unknown","N/A","Unknown",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00022617","SITE_01037","Room_00003764","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Monitor","Unknown","Unknown","N/A","No",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00007607","SITE_01037","Room_00003755","Large Unusual Load","Whole Home Central Vacuum",1,,"No",,"Unknown","960101235","Beam","2100","No","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00022618","SITE_01040","Room_00003803","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","No","N/A","Unknown",0.75000,,"HP",".75 HP, not accesible","Outside_2","Outside"
"Appliance_00007608","SITE_01045","Room_00003845","Large Unusual Load","Aquarium",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","N/A","Family Room_1","Family Room"
