"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Primary","Stove Fuel","Oven Fuel","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00013881","SITE_01930","Room_00023482","Stove/Oven","Unknown",,"Unknown","Unknown","General Electric","J B705S T3SS","No","Yes","Electric","Electric","No","N/A","Kitchen_2","Kitchen"
"Appliance_00014104","SITE_01931","Room_00023491","Stove/Oven","No",2012,,"NF23011591","Frigidaire","Fgew3045kfb","No","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014105","SITE_01931","Room_00023491","Stove/Oven","No",2012,,"NF22117700","Frigidaire","Fges3065kff","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014106","SITE_01932","Room_00023507","Stove/Oven","No",2013,,"LA653663 G","General Electric","J KP26 002AD","No","Yes","No Stove","Electric","No","Stove/Oven: Two ovens in this model. Top and bottom.","Kitchen_1","Kitchen"
"Appliance_00014107","SITE_01932","Room_00023507","Stove/Oven","No",,"Unknown","Unknown","Unknown","Unknown","No","Yes","Electric","No oven","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014473","SITE_01933","Room_00023529","Stove/Oven","No",2009,,"NF91923746","Frigidaire","Plgs389ecj","Unknown","Yes","Gas","Gas","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014108","SITE_01934","Room_00023542","Stove/Oven","No",2010,,"ZT214835 R","Hotpoint","R B734 OJ3WH","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014109","SITE_01935","Room_00023558","Stove/Oven","Yes",2007,,"N/A","Frigidaire","Pleb30m9ecd","No","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014110","SITE_01935","Room_00023558","Stove/Oven","No",,"Unknown","Unknown","Frigidaire","Unknown","No","Yes","Propane","No oven","No","Stove/Oven: Cooktop","Kitchen_1","Kitchen"
"Appliance_00014111","SITE_01936","Room_00023576","Stove/Oven","No",,"Unknown","Unknown","Bosch","Unknown","No","Yes","Gas","Gas","No","Stove/Oven: No mfg. label.","Kitchen_1","Kitchen"
"Appliance_00014112","SITE_01937","Room_00023588","Stove/Oven","No",1998,,"RH3010647","Whirlpool","Rf370lxgw","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014472","SITE_01938","Room_00023592","Stove/Oven","No",,"Unknown","Unknown","LG","Unknown","Unknown","Yes","Gas","Gas","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013882","SITE_01939","Room_00023610","Stove/Oven","Unknown",,"Unknown","Unknown","Whirlpool","Unknown","No","Yes","Gas","Gas","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014113","SITE_01940","Room_00023623","Stove/Oven","No",,"Unknown","Unknown","General Electric","JSP34W0W1WW","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014114","SITE_01941","Room_00023633","Stove/Oven","No",2010,,"RT228025G","General Electric","Jbp26ay3aa","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014620","SITE_01942","Room_00023653","Stove/Oven","No",2003,,"RP2825697","Whirlpool","rf368lxkt","Unknown","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014115","SITE_01943","Room_00023661","Stove/Oven","No",2011,,"VF12908994","Frigidaire","Fefl77asa","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014116","SITE_01944","Room_00023677","Stove/Oven","No",2009,,"VF94444818","Frigidaire","FEF336FMF","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014117","SITE_01945","Room_00023690","Stove/Oven","No",,"Unknown","Unknown","Amana","AER3311XAX","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013883","SITE_01946","Room_00023700","Stove/Oven","Unknown",,"Unknown","Unknown","General Electric","Jbp35com1ww","Unknown","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014118","SITE_01947","Room_00023710","Stove/Oven","No",,"Unknown","Unknown","Maytag","Unknown","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014119","SITE_01948","Room_00023720","Stove/Oven","No",,"Unknown","Unknown","Euro-pro","Unknown","No","No","No Stove","Electric","Unknown","N/A","Dining Room_1","Dining Room"
